Player1,Player2,P1Wins,tourney_date,tourney_name,tourney_index,tourney_id,match_num,P1_Rank,P2_Rank,P1_Country,P1_Age,P1_Matches_Played,P1_Matches_Won,P1_Matches_Lost,P1_P_Win,P1_P_Sets,P1_Ace_Sets,P1_Elo,P2_Country,P2_Age,P2_Matches_Played,P2_Matches_Won,P2_Matches_Lost,P2_P_Win,P2_P_Sets,P2_Ace_Sets,P2_Elo
Damir Dzumhur,Marco Cecchinato,1,1/4/2016,Doha,67,2016-0451,280,82,90,BIH,23,14,5,9,0.357142857,0.378378378,1.081081081,1471.830406,ITA,22,4,0,4,0,0.25,1.5,1409.186373
Tomas Berdych,Sergiy Stakhovsky,1,1/4/2016,Doha,67,2016-0451,281,6,62,CZE,30,76,54,22,0.710526316,0.677083333,2.973958333,1726.482316,UKR,29,44,20,24,0.454545455,0.461538462,2.427350427,1444.250515
Leonardo Mayer,Benjamin Becker,1,1/4/2016,Doha,67,2016-0451,282,35,97,ARG,28,46,24,22,0.52173913,0.533898305,2.610169492,1557.510428,GER,34,29,9,20,0.310344828,0.388235294,2.4,1404.571571
Paolo Lorenzi,Pablo Andujar,0,1/4/2016,Doha,67,2016-0451,283,68,64,ITA,33,23,7,16,0.304347826,0.316666667,1.7,1399.525418,ESP,29,36,16,20,0.444444444,0.469387755,0.806122449,1490.784282
Fernando Verdasco,Malek Jaziri,1,1/4/2016,Doha,67,2016-0451,284,49,103,ESP,31,49,23,26,0.469387755,0.474452555,2.788321168,1496.245114,TUN,31,31,12,19,0.387096774,0.397590361,1.674698795,1443.040816
Novak Djokovic,Dustin Brown,1,1/4/2016,Doha,67,2016-0451,285,1,118,SRB,28,87,81,6,0.931034483,0.838427948,2.056768559,2009.360475,GER,30,25,10,15,0.4,0.463768116,3.086956522,1488.343719
Robin Haase,Rafael Nadal,0,1/4/2016,Doha,67,2016-0451,286,66,5,NED,28,33,13,20,0.393939394,0.417582418,1.912087912,1483.514116,ESP,29,80,60,20,0.75,0.699507389,1.093596059,1811.066011
Andrey Kuznetsov,Ricardas Berankis,1,1/4/2016,Doha,67,2016-0451,287,79,85,RUS,24,20,8,12,0.4,0.42,1.76,1498.707733,LTU,25,29,11,18,0.379310345,0.43902439,1.926829268,1443.696535
Teymuraz Gabashvili,Illya Marchenko,0,1/4/2016,Doha,67,2016-0451,288,50,94,RUS,30,36,15,21,0.416666667,0.457446809,2.053191489,1491.220755,UKR,27,9,2,7,0.222222222,0.37037037,2.111111111,1502.801522
Jeremy Chardy,Paul Henri Mathieu,1,1/4/2016,Doha,67,2016-0451,289,31,95,FRA,28,52,25,27,0.480769231,0.503546099,2.815602837,1555.76401,FRA,33,17,7,10,0.411764706,0.456521739,1.804347826,1479.484798
Kyle Edmund,Daniel Munoz de la Nava,1,1/4/2016,Doha,67,2016-0451,290,102,75,GBR,20,5,1,4,0.2,0.2,1.733333333,1480.141047,NA,NA,0,0,0,0,0,0,1500
Damir Dzumhur,Tomas Berdych,0,1/4/2016,Doha,67,2016-0451,291,82,6,BIH,23,14,5,9,0.357142857,0.378378378,1.081081081,1471.830406,CZE,30,76,54,22,0.710526316,0.677083333,2.973958333,1726.482316
Leonardo Mayer,Pablo Andujar,1,1/4/2016,Doha,67,2016-0451,292,35,64,ARG,28,46,24,22,0.52173913,0.533898305,2.610169492,1557.510428,ESP,29,36,16,20,0.444444444,0.469387755,0.806122449,1490.784282
Fernando Verdasco,Novak Djokovic,0,1/4/2016,Doha,67,2016-0451,293,49,1,ESP,31,49,23,26,0.469387755,0.474452555,2.788321168,1496.245114,SRB,28,87,81,6,0.931034483,0.838427948,2.056768559,2009.360475
Andrey Kuznetsov,Rafael Nadal,0,1/4/2016,Doha,67,2016-0451,294,79,5,RUS,24,20,8,12,0.4,0.42,1.76,1498.707733,ESP,29,80,60,20,0.75,0.699507389,1.093596059,1811.066011
Jeremy Chardy,Illya Marchenko,0,1/4/2016,Doha,67,2016-0451,295,31,94,FRA,28,52,25,27,0.480769231,0.503546099,2.815602837,1555.76401,UKR,27,9,2,7,0.222222222,0.37037037,2.111111111,1502.801522
Tomas Berdych,Kyle Edmund,1,1/4/2016,Doha,67,2016-0451,296,6,102,CZE,30,76,54,22,0.710526316,0.677083333,2.973958333,1726.482316,GBR,20,5,1,4,0.2,0.2,1.733333333,1480.141047
Leonardo Mayer,Novak Djokovic,0,1/4/2016,Doha,67,2016-0451,297,35,1,ARG,28,46,24,22,0.52173913,0.533898305,2.610169492,1557.510428,SRB,28,87,81,6,0.931034483,0.838427948,2.056768559,2009.360475
Illya Marchenko,Rafael Nadal,0,1/4/2016,Doha,67,2016-0451,298,94,5,UKR,27,9,2,7,0.222222222,0.37037037,2.111111111,1502.801522,ESP,29,80,60,20,0.75,0.699507389,1.093596059,1811.066011
Novak Djokovic,Tomas Berdych,1,1/4/2016,Doha,67,2016-0451,299,1,6,SRB,28,87,81,6,0.931034483,0.838427948,2.056768559,2009.360475,CZE,30,76,54,22,0.710526316,0.677083333,2.973958333,1726.482316
Rafael Nadal,Novak Djokovic,0,1/4/2016,Doha,67,2016-0451,300,5,1,ESP,29,80,60,20,0.75,0.699507389,1.093596059,1811.066011,SRB,28,87,81,6,0.931034483,0.838427948,2.056768559,2009.360475
Daniel Gimeno Traver,Ramkumar Ramanathan,0,1/4/2016,Chennai,68,2016-0891,271,98,248,ESP,30,30,12,18,0.4,0.405405405,1.459459459,1354.665791,IND,20,2,0,2,0,0,3.5,1459.006426
Luca Vanni,Jan Lennard Struff,1,1/4/2016,Chennai,68,2016-0891,272,106,107,ITA,30,13,4,9,0.307692308,0.361111111,3.861111111,1370.462116,GER,25,22,4,18,0.181818182,0.306451613,3.290322581,1326.472864
Vasek Pospisil,Aljaz Bedene,0,1/4/2016,Chennai,68,2016-0891,273,39,45,CAN,25,44,23,21,0.522727273,0.495798319,4.033613445,1544.254189,SLO,26,33,16,17,0.484848485,0.452380952,3.202380952,1507.130251
Evgeny Donskoy,John Millman,0,1/4/2016,Chennai,68,2016-0891,275,91,92,RUS,25,10,5,5,0.5,0.52,2.04,1503.241223,AUS,26,13,4,9,0.307692308,0.405405405,0.891891892,1467.720283
Austin Krajicek,Rajeev Ram,1,1/4/2016,Chennai,68,2016-0891,276,104,89,USA,25,18,7,11,0.388888889,0.382978723,3.595744681,1488.441627,USA,31,13,7,6,0.538461538,0.527777778,3.527777778,1444.437708
Borna Coric,Marcel Granollers,1,1/4/2016,Chennai,68,2016-0891,277,44,84,CRO,18,50,23,27,0.46,0.449612403,1.426356589,1567.527867,ESP,29,31,12,19,0.387096774,0.407894737,1.828947368,1412.82776
Gilles Muller,Karen Khachanov,1,1/4/2016,Chennai,68,2016-0891,278,38,152,LUX,32,55,31,24,0.563636364,0.539007092,5.425531915,1574.348964,NA,NA,0,0,0,0,0,0,1500
Thomas Fabbiano,Jozef Kovalik,1,1/4/2016,Chennai,68,2016-0891,279,157,259,ITA,26,3,0,3,0,0,0.833333333,1482.322553,NA,NA,0,0,0,0,0,0,1500
Santiago Giraldo,Lukas Rosol,0,1/4/2016,Chennai,68,2016-0891,280,70,55,COL,27,43,19,24,0.441860465,0.457943925,1.130841121,1391.415992,CZE,30,47,19,28,0.404255319,0.443548387,2.14516129,1512.227826
Guillermo Garcia Lopez,Taro Daniel,1,1/4/2016,Chennai,68,2016-0891,282,27,96,ESP,32,54,30,24,0.555555556,0.553191489,1.921985816,1556.925848,JPN,22,6,1,5,0.166666667,0.2,1.4,1422.230569
Ante Pavic,Nicolas Almagro,1,1/4/2016,Chennai,68,2016-0891,283,449,73,CRO,26,2,0,2,0,0.333333333,3.833333333,1415.246002,ESP,30,37,17,20,0.459459459,0.455555556,3.177777778,1453.633429
Andrey Rublev,Somdev Devvarman,1,1/4/2016,Chennai,68,2016-0891,284,185,177,RUS,18,17,6,11,0.352941176,0.409090909,1.545454545,1443.807364,IND,30,2,0,2,0,0.2,1.4,1347.895124
Alexander Kudryavtsev,Ramkumar Ramanathan,0,1/4/2016,Chennai,68,2016-0891,286,164,248,RUS,29,2,0,2,0,0.285714286,2.428571429,1348.966906,IND,20,2,0,2,0,0,3.5,1459.006426
Aljaz Bedene,Luca Vanni,1,1/4/2016,Chennai,68,2016-0891,287,45,106,SLO,26,33,16,17,0.484848485,0.452380952,3.202380952,1507.130251,ITA,30,13,4,9,0.307692308,0.361111111,3.861111111,1370.462116
Roberto Bautista Agut,John Millman,1,1/4/2016,Chennai,68,2016-0891,288,25,92,ESP,27,68,40,28,0.588235294,0.584795322,1.467836257,1622.537842,AUS,26,13,4,9,0.307692308,0.405405405,0.891891892,1467.720283
Austin Krajicek,Borna Coric,0,1/4/2016,Chennai,68,2016-0891,289,104,44,USA,25,18,7,11,0.388888889,0.382978723,3.595744681,1488.441627,CRO,18,50,23,27,0.46,0.449612403,1.426356589,1567.527867
Thomas Fabbiano,Gilles Muller,1,1/4/2016,Chennai,68,2016-0891,290,157,38,ITA,26,3,0,3,0,0,0.833333333,1482.322553,LUX,32,55,31,24,0.563636364,0.539007092,5.425531915,1574.348964
Lukas Rosol,Benoit Paire,0,1/4/2016,Chennai,68,2016-0891,291,55,19,CZE,30,47,19,28,0.404255319,0.443548387,2.14516129,1512.227826,FRA,26,40,24,16,0.6,0.54954955,2.72972973,1640.798427
Guillermo Garcia Lopez,Ante Pavic,1,1/4/2016,Chennai,68,2016-0891,292,27,449,ESP,32,54,30,24,0.555555556,0.553191489,1.921985816,1556.925848,CRO,26,2,0,2,0,0.333333333,3.833333333,1415.246002
Stan Wawrinka,Andrey Rublev,1,1/4/2016,Chennai,68,2016-0891,293,4,185,SUI,30,71,54,17,0.76056338,0.723958333,2.989583333,1817.216995,RUS,18,17,6,11,0.352941176,0.409090909,1.545454545,1443.807364
Aljaz Bedene,Ramkumar Ramanathan,1,1/4/2016,Chennai,68,2016-0891,294,45,248,SLO,26,33,16,17,0.484848485,0.452380952,3.202380952,1507.130251,IND,20,2,0,2,0,0,3.5,1459.006426
Borna Coric,Roberto Bautista Agut,1,1/4/2016,Chennai,68,2016-0891,295,44,25,CRO,18,50,23,27,0.46,0.449612403,1.426356589,1567.527867,ESP,27,68,40,28,0.588235294,0.584795322,1.467836257,1622.537842
Benoit Paire,Thomas Fabbiano,1,1/4/2016,Chennai,68,2016-0891,296,19,157,FRA,26,40,24,16,0.6,0.54954955,2.72972973,1640.798427,ITA,26,3,0,3,0,0,0.833333333,1482.322553
Guillermo Garcia Lopez,Stan Wawrinka,0,1/4/2016,Chennai,68,2016-0891,297,27,4,ESP,32,54,30,24,0.555555556,0.553191489,1.921985816,1556.925848,SUI,30,71,54,17,0.76056338,0.723958333,2.989583333,1817.216995
Borna Coric,Aljaz Bedene,1,1/4/2016,Chennai,68,2016-0891,298,44,45,CRO,18,50,23,27,0.46,0.449612403,1.426356589,1567.527867,SLO,26,33,16,17,0.484848485,0.452380952,3.202380952,1507.130251
Benoit Paire,Stan Wawrinka,0,1/4/2016,Chennai,68,2016-0891,299,19,4,FRA,26,40,24,16,0.6,0.54954955,2.72972973,1640.798427,SUI,30,71,54,17,0.76056338,0.723958333,2.989583333,1817.216995
Stan Wawrinka,Borna Coric,1,1/4/2016,Chennai,68,2016-0891,300,4,44,SUI,30,71,54,17,0.76056338,0.723958333,2.989583333,1817.216995,CRO,18,50,23,27,0.46,0.449612403,1.426356589,1567.527867
Mikhail Kukushkin,Denis Istomin,1,1/4/2016,Brisbane,69,2016-M020,271,65,61,KAZ,27,35,15,20,0.428571429,0.426966292,1.191011236,1490.491878,UZB,29,39,18,21,0.461538462,0.483870968,2.505376344,1484.677783
Radek Stepanek,Dusan Lajovic,1,1/4/2016,Brisbane,69,2016-M020,272,197,76,CZE,36,15,6,9,0.4,0.435897436,1.846153846,1501.714338,SRB,25,33,14,19,0.424242424,0.458823529,1.388235294,1447.884562
Bernard Tomic,Nicolas Mahut,1,1/4/2016,Brisbane,69,2016-M020,273,18,71,AUS,23,61,37,24,0.606557377,0.575757576,3.454545455,1636.615565,FRA,33,21,11,10,0.523809524,0.55,2.583333333,1493.964422
Oliver Anderson,Ivan Dodig,0,1/4/2016,Brisbane,69,2016-M020,275,813,87,NA,NA,0,0,0,0,0,0,1500,CRO,30,19,8,11,0.421052632,0.479166667,3.4375,1453.241193
Lucas Pouille,Yoshihito Nishioka,1,1/4/2016,Brisbane,69,2016-M020,276,78,117,FRA,21,25,11,14,0.44,0.467741935,1.967741935,1503.696479,JPN,20,8,3,5,0.375,0.363636364,0.636363636,1452.102703
David Goffin,Thomaz Bellucci,1,1/4/2016,Brisbane,69,2016-M020,277,16,37,BEL,24,55,33,22,0.6,0.576388889,2.326388889,1629.529495,BRA,27,55,28,27,0.509090909,0.503597122,2.345323741,1523.684813
James Duckworth,Dominic Thiem,0,1/4/2016,Brisbane,69,2016-M020,278,120,20,AUS,23,20,9,11,0.45,0.440677966,3.322033898,1397.320677,AUT,22,55,29,26,0.527272727,0.517730496,2.453900709,1575.17497
John Patrick Smith,Denis Kudla,0,1/4/2016,Brisbane,69,2016-M020,279,129,69,AUS,25,8,3,5,0.375,0.409090909,3.363636364,1383.346408,USA,23,22,8,14,0.363636364,0.403225806,2.064516129,1429.964475
Hyeon Chung,Sam Groth,1,1/4/2016,Brisbane,69,2016-M020,280,51,60,KOR,19,18,9,9,0.5,0.5,1.75,1528.134579,AUS,27,36,16,20,0.444444444,0.469387755,5.908163265,1466.62706
Grigor Dimitrov,Gilles Simon,1,1/4/2016,Brisbane,69,2016-M020,282,28,15,BUL,24,53,31,22,0.58490566,0.567375887,2.758865248,1607.935247,FRA,30,61,40,21,0.655737705,0.603658537,1.353658537,1626.516599
Steve Johnson,Viktor Troicki,0,1/4/2016,Brisbane,69,2016-M020,283,32,22,USA,25,61,34,27,0.557377049,0.51875,3.78125,1588.891047,SRB,29,60,33,27,0.55,0.515337423,3.693251534,1539.722247
Benjamin Mitchell,Tobias Kamke,0,1/4/2016,Brisbane,69,2016-M020,284,231,277,NA,NA,0,0,0,0,0,0,1500,GER,28,6,1,5,0.166666667,0.25,0.8125,1418.792067
